t px py theta vx vy omega ax ay alpha 
0.0001 -0.04145635106 2.362435193e-06 0 -0.0118 0 0 -132.8935 0 0
0.0002 -0.04145823808 2.362435193e-06 0 -0.0295 0 0 -295 0 0
0.0003 -0.04146228006 2.362435193e-06 0 -0.0472 0 0 -17.5925 0 0
0.0004 -0.04146728671 2.362435193e-06 0 -0.0531 0 0 -56.3465 0 0
0.0005 -0.04147288999 2.362435193e-06 0 -0.059 0 0 -64.6085 0 0
0.0006 -0.04147906924 2.362435193e-06 0 -0.0649 0 0 -140.174 0 0
0.0007 -0.04148560689 2.362435193e-06 0 -0.06859403 0 0 -1104.716 0 0
0.0008 -0.04150324345 2.362435193e-06 0 -0.28743 0 0 -2086.985 0 0
0.0009 -0.04154270505 2.362435193e-06 0 -0.501274 0 0 -2107.995 0 0
0.001 -0.04160331518 2.362435193e-06 0 -0.710126 0 0 -2063.165 0 0
0.0011 -0.04168456189 2.362435193e-06 0 -0.913986 0 0 -2013.61 0 0
0.0012 -0.04178594507 2.362435193e-06 0 -1.112854 0 0 -1963.7 0 0
0.0013 -0.04190696545 2.362435193e-06 0 -1.30673 0 0 -1913.8 0 0
0.0014 -0.04204712383 2.362435193e-06 0 -1.495614 0 0 -1863.9 0 0
0.0015 -0.04220592102 2.362435193e-06 0 -1.679506 0 0 -1814 0 0
0.0016 -0.0423828578 2.362435193e-06 0 -1.858406 0 0 -1764 0 0
0.0017 -0.04257743499 2.362435193e-06 0 -2.032314 0 0 -1714.1 0 0
0.0018 -0.04278915337 2.362435193e-06 0 -2.20123 0 0 -1664.2 0 0
0.0019 -0.04301751375 2.362435193e-06 0 -2.365154 0 0 -1614.3 0 0
0.002 -0.04326201694 2.362435193e-06 0 -2.524086 0 0 -1564.4 0 0
0.0021 -0.04352216372 2.362435193e-06 0 -2.678026 0 0 -1514.4 0 0
0.0022 -0.04379745491 2.362435193e-06 0 -2.826974 0 0 -1464.5 0 0
0.0023 -0.04408739129 2.362435193e-06 0 -2.97093 0 0 -1414.6 0 0
0.0024 -0.04439147367 2.362435193e-06 0 -3.109894 0 0 -1364.7 0 0
0.0025 -0.04470920286 2.362435193e-06 0 -3.243866 0 0 -1314.75 0 0
0.0026 -0.04504006116 2.362435193e-06 0 -3.372178 0 0 -1248.8 0 0
0.0027 -0.04538341262 2.362435193e-06 0 -3.493763 0 0 -1182.9 0 0
0.0028 -0.0457385928 2.362435193e-06 0 -3.608753 0 0 -1116.9 0 0
0.0029 -0.04610494236 2.362435193e-06 0 -3.71715 0 0 -1051 0 0
0.003 -0.04648180182 2.362435193e-06 0 -3.818951 0 0 -985.05 0 0
0.0031 -0.04686851176 2.362435193e-06 0 -3.914159 0 0 -919.1 0 0
0.0032 -0.04726441275 2.362435193e-06 0 -4.002773 0 0 -853.2 0 0
0.0033 -0.04766884537 2.362435193e-06 0 -4.084792 0 0 -787.2 0 0
0.0034 -0.04808115024 2.362435193e-06 0 -4.160217 0 0 -721.3 0 0
0.0035 -0.04850066782 2.362435193e-06 0 -4.229047 0 0 -655.3 0 0
0.0036 -0.04892673879 2.362435193e-06 0 -4.291284 0 0 -589.4 0 0
0.0037 -0.04935870369 2.362435193e-06 0 -4.346926 0 0 -523.45 0 0
0.0038 -0.04979590309 2.362435193e-06 0 -4.395974 0 0 -457.5 0 0
0.0039 -0.05023767757 2.362435193e-06 0 -4.438428 0 0 -391.6 0 0
0.004 -0.05068336776 2.362435193e-06 0 -4.474288 0 0 -325.6 0 0
0.0041 -0.05113231416 2.362435193e-06 0 -4.503553 0 0 -259.7 0 0
0.0042 -0.05158385743 2.362435193e-06 0 -4.526224 0 0 -193.7 0 0
0.0043 -0.05203733809 2.362435193e-06 0 -4.542301 0 0 -127.8 0 0
0.0044 -0.05249209668 2.362435193e-06 0 -4.551783 0 0 -61.9 0 0
0.0045 -0.05294747385 2.362435193e-06 0 -4.554672 0 0 4.1 0 0
0.0046 -0.05340281013 2.362435193e-06 0 -4.550966 0 0 70 0 0
0.0047 -0.05385744611 2.362435193e-06 0 -4.540666 0 0 136 0 0
0.0048 -0.05431072237 2.362435193e-06 0 -4.523771 0 0 201.9 0 0
0.0049 -0.05476197947 2.362435193e-06 0 -4.500283 0 0 267.9 0 0
0.005 -0.05521055799 2.362435193e-06 0 -4.4702 0 0 333.6 0 0
0.0051 -0.05565589097 2.362435193e-06 0 -4.436861 0 0 319.7 0 0
0.0052 -0.05609800263 2.362435193e-06 0 -4.405606 0 0 305.5 0 0
0.0053 -0.05653705966 2.362435193e-06 0 -4.375769 0 0 291.3 0 0
0.0054 -0.0569732038 2.362435193e-06 0 -4.347348 0 0 277.1 0 0
0.0055 -0.05740657672 2.362435193e-06 0 -4.320344 0 0 262.95 0 0
0.0056 -0.05783732012 2.362435193e-06 0 -4.294757 0 0 248.8 0 0
0.0057 -0.05826557566 2.362435193e-06 0 -4.270588 0 0 234.6 0 0
0.0058 -0.05869148509 2.362435193e-06 0 -4.247835 0 0 220.4 0 0
0.0059 -0.05911519012 2.362435193e-06 0 -4.226499 0 0 206.3 0 0
0.006 -0.05953683236 2.362435193e-06 0 -4.20658 0 0 192.1 0 0
0.0061 -0.05995655357 2.362435193e-06 0 -4.188078 0 0 177.9 0 0
0.0062 -0.06037449547 2.362435193e-06 0 -4.170993 0 0 163.8 0 0
0.0063 -0.06079079968 2.362435193e-06 0 -4.155325 0 0 149.6 0 0
0.0064 -0.06120560792 2.362435193e-06 0 -4.141074 0 0 135.4 0 0
0.0065 -0.06161906195 2.362435193e-06 0 -4.12824 0 0 121.3 0 0
0.0066 -0.06203130338 2.362435193e-06 0 -4.116823 0 0 107.1 0 0
0.0067 -0.06244247399 2.362435193e-06 0 -4.106823 0 0 92.9 0 0
0.0068 -0.0628527154 2.362435193e-06 0 -4.098239 0 0 78.75 0 0
0.0069 -0.06326216932 2.362435193e-06 0 -4.091073 0 0 64.6 0 0
0.007 -0.06367097746 2.362435193e-06 0 -4.085324 0 0 50.4 0 0
0.0071 -0.06407928149 2.362435193e-06 0 -4.080991 0 0 36.2 0 0
0.0072 -0.06448722315 2.362435193e-06 0 -4.078076 0 0 22.1 0 0
0.0073 -0.06489494408 2.362435193e-06 0 -4.076577 0 0 7.9 0 0
0.0074 -0.06530258602 2.362435193e-06 0 -4.076496 0 0 -6.3 0 0
0.0075 -0.06571029067 2.362435193e-06 0 -4.077831 0 0 -20.6 0 0
0.0076 -0.06611828271 2.362435193e-06 0 -4.083579 0 0 -106.45 0 0
0.0077 -0.06652731729 2.362435193e-06 0 -4.098533 0 0 -192.6 0 0
0.0078 -0.06693827757 2.362435193e-06 0 -4.122093 0 0 -278.6 0 0
0.0079 -0.06735202415 2.362435193e-06 0 -4.154259 0 0 -364.7 0 0
0.008 -0.06776941771 2.362435193e-06 0 -4.195032 0 0 -450.8 0 0
0.0081 -0.06819131887 2.362435193e-06 0 -4.244411 0 0 -536.8 0 0
0.0082 -0.06861858825 2.362435193e-06 0 -4.302397 0 0 -622.9 0 0
0.0083 -0.06905208654 2.362435193e-06 0 -4.368989 0 0 -709 0 0
0.0084 -0.06949267434 2.362435193e-06 0 -4.444187 0 0 -795 0 0
0.0085 -0.06994121231 2.362435193e-06 0 -4.527992 0 0 -881.1 0 0
0.0086 -0.07039856107 2.362435193e-06 0 -4.620403 0 0 -967.1 0 0
0.0087 -0.07086558126 2.362435193e-06 0 -4.721421 0 0 -1053.2 0 0
0.0088 -0.07134313354 2.362435193e-06 0 -4.831045 0 0 -1139.3 0 0
0.0089 -0.07183207862 2.362435193e-06 0 -4.949276 0 0 -1225.3 0 0
0.009 -0.07233327703 2.362435193e-06 0 -5.076113 0 0 -1311.4 0 0
0.0091 -0.0728475895 2.362435193e-06 0 -5.211556 0 0 -1397.5 0 0
0.0092 -0.07337587658 2.362435193e-06 0 -5.355606 0 0 -1483.5 0 0
0.0093 -0.07391899896 2.362435193e-06 0 -5.508262 0 0 -1569.6 0 0
0.0094 -0.07447781731 2.362435193e-06 0 -5.669525 0 0 -1655.7 0 0
0.0095 -0.07505319228 2.362435193e-06 0 -5.839394 0 0 -1741.7 0 0
0.0096 -0.07564598443 2.362435193e-06 0 -6.017869 0 0 -1827.8 0 0
0.0097 -0.07625705446 2.362435193e-06 0 -6.204951 0 0 -1913.85 0 0
0.0098 -0.07688726303 2.362435193e-06 0 -6.40064 0 0 -1999.9 0 0
0.0099 -0.07753747073 2.362435193e-06 0 -6.604935 0 0 -2086 0 0
0.01 -0.07820853823 2.362435193e-06 0 -6.817836 0 0 -2171.6 0 0
0.0101 -0.07890110571 2.362435193e-06 0 -7.031383 0 0 -2067.2 0 0
0.0102 -0.0796144034 2.362435193e-06 0 -7.232839 0 0 -1962.05 0 0
0.0103 -0.08034732185 2.362435193e-06 0 -7.423797 0 0 -1857.05 0 0
0.0104 -0.08109881113 2.362435193e-06 0 -7.604256 0 0 -1752.1 0 0
0.0105 -0.0818678214 2.362435193e-06 0 -7.774217 0 0 -1647.15 0 0
0.0106 -0.0826533028 2.362435193e-06 0 -7.933679 0 0 -1542.15 0 0
0.0107 -0.08345420548 2.362435193e-06 0 -8.082642 0 0 -1437.15 0 0
0.0108 -0.08426947955 2.362435193e-06 0 -8.221107 0 0 -1332.15 0 0
0.0109 -0.08509807515 2.362435193e-06 0 -8.349073 0 0 -1227.15 0 0
0.011 -0.08593894243 2.362435193e-06 0 -8.46654 0 0 -1122.15 0 0
0.0111 -0.0867910315 2.362435193e-06 0 -8.573509 0 0 -1017.15 0 0
0.0112 -0.0876532925 2.362435193e-06 0 -8.669979 0 0 -912.25 0 0
0.0113 -0.08852467558 2.362435193e-06 0 -8.75595 0 0 -807.25 0 0
0.0114 -0.08940413085 2.362435193e-06 0 -8.831423 0 0 -702.25 0 0
0.0115 -0.09029060845 2.362435193e-06 0 -8.896397 0 0 -597.25 0 0
