t px py theta vx vy omega ax ay alpha 
0.0001 0.1886964564 -0.03491630306 -3.47985271e-06 -0.01422776156 -0.01312027326 -0.06953088813 -160.2344227 -147.7525648 -783.0156117
0.0002 0.1886941811 -0.03491840109 -1.459840574e-05 -0.03556903654 -0.03279665966 -0.1738062555 -355.6846229 -327.9037057 -1737.734854
0.0003 0.1886893076 -0.03492289418 -3.840959346e-05 -0.05690919978 -0.05246087206 -0.2780181886 -21.19664117 -19.39243591 -102.7851836
0.0004 0.1886832712 -0.03492845795 -6.789509928e-05 -0.06402109648 -0.05899928619 -0.3126704446 -67.91671439 -62.40295738 -330.7265116
0.0005 0.1886765156 -0.03493468261 -0.0001008831639 -0.07113237243 -0.06553091101 -0.3472873238 -77.87122711 -71.50918914 -378.9921093
0.0006 0.1886690658 -0.03494154449 -0.0001372484949 -0.07824296751 -0.07205509255 -0.3818654185 -168.9650111 -155.3243956 -823.1890197
0.0007 0.1886611842 -0.03494880136 -0.0001757073538 -0.08269351032 -0.07612408348 -0.4034324432 -1331.759038 -1225.649791 -6495.568316
0.0008 0.1886399235 -0.03496836282 -0.0002793776148 -0.3464777979 -0.3186187439 -1.688606304 -2515.178973 -2307.50882 -12229.79622
0.0009 0.1885923602 -0.03501205056 -0.0005109175697 -0.604122766 -0.5542501325 -2.937524776 -2538.856508 -2312.828793 -12259.58998
0.001 0.1885193264 -0.03507893533 -0.0008654184196 -0.8555447515 -0.7821133121 -4.145472208 -2482.37184 -2236.601496 -11857.95998
0.0011 0.1884214636 -0.03516818537 -0.001338495432 -1.100668821 -1.001409747 -5.30828699 -2419.48754 -2147.714838 -11389.8902
0.0012 0.1882994059 -0.03527890773 -0.00192544626 -1.339429026 -1.211453444 -6.422393439 -2355.561605 -2052.153623 -10886.99165
0.0013 0.1881537928 -0.03541014759 -0.002621245926 -1.571768544 -1.411674263 -7.484818958 -2291.125098 -1951.483806 -10357.45391
0.0014 0.1879852688 -0.03556089898 -0.003420602924 -1.797639639 -1.601618052 -8.493194694 -2226.256062 -1846.845491 -9807.210113
0.0015 0.1877944828 -0.03573011626 -0.004318018573 -2.017003458 -1.780944044 -9.445741938 -2161.041893 -1739.351288 -9242.05096
0.0016 0.1875820871 -0.03591672513 -0.00530784463 -2.229829704 -1.949419923 -10.3412464 -2095.446111 -1629.949341 -8666.900397
0.0017 0.1873487365 -0.03611963324 -0.006384338419 -2.436096197 -2.10691499 -11.17902263 -2029.787478 -1519.827667 -8087.962188
0.0018 0.187095088 -0.0363377399 -0.007541713184 -2.635788353 -2.253391944 -11.95887126 -1964.019055 -1409.769372 -7509.301105
0.0019 0.1868217993 -0.03656994498 -0.008774184716 -2.828898608 -2.388897681 -12.68103106 -1898.208039 -1300.568371 -6935.048808
0.002 0.1865295287 -0.03681515686 -0.01007601249 -3.015425812 -2.513553575 -13.34612843 -1832.41546 -1192.919965 -6368.823897
0.0021 0.1862189344 -0.03707229935 -0.0114415357 -3.195374606 -2.627545597 -13.95512593 -1766.576829 -1087.322734 -5813.211018
0.0022 0.1858906737 -0.03734031768 -0.0128652047 -3.368754812 -2.731114556 -14.50927162 -1700.979699 -984.4753048 -5271.867744
0.0023 0.1855454029 -0.03761818352 -0.01434160666 -3.535580833 -2.82454677 -15.01005046 -1635.54755 -884.6881084 -4746.40039
0.0024 0.1851837764 -0.03790489908 -0.01586548736 -3.695871091 -2.908165275 -15.45913867 -1570.317848 -788.2867622 -4238.505352
0.0025 0.1848064468 -0.03819950038 -0.01743176797 -3.849647497 -2.982321761 -15.8583618 -1505.263636 -695.4739881 -3749.23485
0.0026 0.1844140861 -0.03850104299 -0.01903546916 -3.996143682 -3.04678867 -16.20646179 -1421.534785 -592.2334752 -3203.994256
0.0027 0.1840075036 -0.03880851684 -0.02067125709 -4.134130467 -3.101060524 -16.50069415 -1338.269415 -494.0340416 -2684.971566
