t x y 
2e-05 13.7597945089886 7.3122554068581
3e-05 3718.11419512235 -716.968742621678
4e-05 3095.78901771031 -595.159012661525
5e-05 2635.58225926957 -505.060760814527
6e-05 2318.43943205337 -442.953846349958
7e-05 2158.68684571442 -411.645516315654
8e-05 2247.09407422139 -428.902900550331
9e-05 2674.37676295116 -512.485712168299
0.0001 3348.9717091694 -644.48423749484
0.00011 3722.85047494396 -717.657568767375
0.00012 3356.49528133205 -645.984608826327
0.00013 2682.15530945499 -514.031288146867
0.00014 2241.53313421488 -427.796215872066
0.00015 2310.00296929779 -441.174020561872
0.00016 3723.1157666211 -717.684332702869
0.00017 6176.03115025423 -1197.70137075068
0.00018 5612.48949924329 -1087.47504542835
0.00019 3721.38024177742 -717.442394976139
0.0002 5527.24822987081 -1070.83845964053
0.00021 7417.12166486776 -1440.69986700587
0.00022 7416.23188078337 -1440.57432096824
0.00023 5569.8833544784 -1079.2956679785
0.00024 3718.72408812312 -717.049304410661
0.00025 5563.96585391127 -1078.16971420977
0.00026 7414.01359946414 -1440.25521480219
0.00027 7413.17820566927 -1440.13214552768
0.00028 6050.91582978492 -1173.56082930551
0.00029 3369.60761886603 -648.813365514658
0.0003 1299.6427092835 -243.682072342909
0.00031 367.670394142872 -61.2554110086556
0.00032 462.197489300036 -79.7311849765489
0.00033 1027.05912025758 -190.268279731246
0.00034 1506.30873380211 -284.056057730327
0.00035 1788.80209245479 -339.337494455024
0.00036 1874.59401884937 -356.119672655523
0.00037 1784.66708583502 -338.506121236687
0.00038 1623.70247159971 -306.985384909926
0.00039 1496.30500165022 -282.033523958773
0.0004 1423.38575505539 -267.744817145437
0.00041 1404.94094486901 -264.119606671104
0.00042 1434.63166111636 -269.91800656694
0.00043 1480.92159293934 -278.966871031406
0.00044 1512.27608581775 -285.092473395303
0.00045 1522.39142297496 -287.060314897428
0.00046 1511.27386569078 -284.871206943875
0.00047 1483.23676875493 -279.369174836489
0.00048 1459.82261378164 -274.77203648362
0.00049 1462.56524779174 -275.296464566951
0.0005 1495.78569029619 -281.789132711661
0.00051 1559.46003160454 -294.246110690126
0.00052 1642.64180724742 -310.524519376661
0.00053 1690.71833488837 -319.929597154413
0.00054 1649.07924946797 -311.766130569412
0.00055 1506.84091700057 -283.900222564423
0.00056 1264.01558271591 -236.331817593904
0.00057 960.036795204186 -176.781968607188
0.00058 791.845790015294 -143.821632119678
0.00059 956.242300551444 -176.001509165882
0.0006 1492.44837780102 -281.012711797238
0.00061 2400.34915134526 -458.841126059919
0.00062 3533.24936112659 -680.761295292895
0.00063 4158.30987805051 -803.22257043683
0.00064 3543.12401596812 -682.734728396402
0.00065 1541.64566655531 -290.655104330262
0.00066 -1845.58445475818 372.946695270814
0.00067 -6093.35959620962 1205.21261012962
0.00068 -8578.49232908736 1692.2257453437
0.00069 -6679.1525633043 1320.24990103943
0.0007 127.315119435719 -13.2411680771422
0.00071 11838.8364926243 -2307.97975981021
0.00072 27638.9757788351 -5404.10620231004
0.00073 43453.5880716304 -8503.35981069346
0.00074 55209.7502391863 -10807.6220262024
0.00075 62093.7197386266 -12157.365668094
0.00076 64106.7307416886 -12552.7340380971
0.00077 61764.8991020219 -12094.7259628174
0.00078 57641.5937959556 -11287.5542385313
0.00079 54307.5514268006 -10635.0520001407
0.0008 52276.1003991862 -10237.885295155
0.00081 51546.6186090557 -10096.0032892107
0.00082 51979.9838629876 -10182.2103381175
0.00083 52886.8800570038 -10361.4004444906
0.00084 53579.6449351007 -10498.7266889395
0.00085 53921.0407860917 -10567.2512904572
0.00086 53911.1223993891 -10566.9556749926
0.00087 53587.5125733562 -10505.1896048379
0.00088 53134.6940517243 -10418.1323979969
0.00089 52736.5145428524 -10341.863098657
0.0009 52429.7299407145 -10283.60314866
0.00091 52214.4637632663 -10243.3857400359
0.00092 52080.5063734987 -10219.2150892024
0.00093 51978.5460976784 -10201.410461195
0.00094 51859.4006068752 -10180.3083709871
0.00095 51713.3303665407 -10153.9904968954
0.00096 51540.5369227362 -10122.4915340772
0.00097 51343.5809925132 -10086.3100291904
0.00098 51135.795415484 -10048.0641956663
0.00099 50930.2179557577 -10010.3171915844
0.001 50729.4632527459 -9973.58286553062
0.00101 50533.7935178006 -9937.91217484231
0.00102 50342.3547467896 -9903.13646790964
0.00103 50151.7045447292 -9868.57678653464
0.00104 49958.2922832553 -9833.53184401751
0.00105 49761.4108915722 -9797.86039523053
0.00106 49561.2191951426 -9761.5916676889
0.00107 49357.8758692003 -9724.75491376572
0.00108 49152.3993761191 -9687.54915779973
0.00109 48945.6813943075 -9650.14865327519
0.0011 48737.9968935346 -9612.6060451531
0.00111 48529.3742225396 -9574.92534257571
0.00112 48319.7204082441 -9537.08648318241
0.00113 48108.9430945914 -9499.06949179712
0.00114 47896.8263979236 -9460.83001913926
0.00115 47683.0348775433 -9422.29988107385
0.00116 47467.9679678927 -9383.55628116865
0.00117 47251.7772858715 -9344.62754115943
0.00118 47034.1281936074 -9305.44557218014
0.00119 46815.173556896 -9266.03890705456
0.0012 46595.066587692 -9226.43611937599
0.00121 46373.8385740319 -9186.64162140616
0.00122 46151.5186313341 -9146.65954350432
0.00123 45929.3500785802 -9106.73518339145
0.00124 45704.9367522151 -9066.39057814779
0.00125 45478.3182363061 -9025.63155739981
0.00126 45253.1482570071 -8985.18338828134
0.00127 45027.0338555683 -8944.56842891319
0.00128 44797.6005315232 -8903.31162560172
0.00129 44568.4983404486 -8862.13840943363
0.0013 44339.7456178551 -8821.05117115178
0.00131 44108.9726186213 -8779.57539505094
0.00132 43877.4127444988 -8737.95530728983
0.00133 43645.0937393625 -8696.19488854735
0.00134 43412.0461892997 -8654.29849678548
0.00135 43179.4933719419 -8612.50925463604
0.00136 42945.0716254797 -8570.35262668426
0.00137 42708.8227087396 -8527.83483323694
0.00138 42474.3428220004 -8485.67486994423
0.00139 42239.2724661529 -8443.39863755494
0.0014 42001.2740502992 -8400.53512849375
0.00141 41763.9403998082 -8357.80364492191
0.00142 41527.2870513411 -8315.20618171469
0.00143 41288.9805637204 -8272.27217960942
0.00144 41050.2322761459 -8229.24345077323
0.00145 40811.0698333981 -8186.12400397664
0.00146 40571.5206672237 -8142.9178234837
0.00147 40331.6115239832 -8099.62880627981
0.00148 40092.5410970731 -8056.49739389053
0.00149 39851.9886883403 -8013.05369681258
0.0015 39609.992550018 -7969.30358912233
0.00151 39370.0786571795 -7925.95837427369
0.00152 39129.9304413015 -7882.54858572589
0.00153 38887.2527818778 -7838.60784371645
0.00154 38645.5676316935 -7794.84776954292
0.00155 38404.8866843876 -7751.26982659578
0.00156 38162.9198444566 -7707.40819072915
0.00157 37920.8524968679 -7663.50182950487
0.00158 37678.7091631108 -7619.55438554543
0.00159 37436.5140972633 -7575.56946954509
0.0016 37195.4398371697 -7531.78461765038
0.00161 36953.2065964373 -7487.73433701533
0.00162 36709.8520551007 -7443.42453371786
0.00163 36468.8296786172 -7399.55847197918
0.00164 36227.8646711859 -7355.67119088157
0.00165 35984.7060001152 -7311.30118008461
0.00166 35742.8017725983 -7267.15191640895
0.00167 35502.1606877123 -7223.224446282
