t px py theta vx vy omega ax ay alpha 
0.0001 0.2621631367 -0.03031067139 -1.539555536e-05 -0.009324159723 0.01083647721 -0.3076197027 -105.0013748 122.0386508 -3464.281834
0.0002 0.2621616457 -0.03030893849 -6.458708416e-05 -0.02330687624 0.02708979377 -0.7689769883 -233.0136935 270.8760656 -7688.640267
0.0003 0.2621584528 -0.03030522696 -0.0001699387602 -0.03727893292 0.04333887635 -1.230115616 -13.75380014 16.09740907 -455.6016685
0.0004 0.2621544993 -0.03030063019 -0.0003004045516 -0.04192199218 0.0487495598 -1.383535323 -44.30688209 51.65929344 -1464.468843
0.0005 0.2621500766 -0.03029548637 -0.0004463791989 -0.04655910676 0.05415788135 -1.536833117 -50.7651665 59.2187689 -1678.414979
0.0006 0.2621452015 -0.03028981473 -0.0006073118885 -0.05118970415 0.05956361318 -1.689997269 -110.2961277 128.5426484 -3644.683568
0.0007 0.2621400463 -0.03028381517 -0.0007775246477 -0.05407508034 0.06294266647 -1.785609905 -870.5897962 1013.582196 -28751.40342
0.0008 0.2621261526 -0.03026763556 -0.001236430964 -0.2262720157 0.2636222383 -7.475708343 -1637.731673 1912.056045 -54173.45643
0.0009 0.2620951363 -0.03023146197 -0.002261778042 -0.3933750051 0.4592605282 -13.01210658 -1638.538532 1925.069265 -54397.45124
0.001 0.262047687 -0.03017597734 -0.003832753089 -0.5545919344 0.6495419026 -18.37859063 -1580.020369 1874.704859 -52755.80691
0.0011 0.2619844391 -0.03010174331 -0.005931303666 -0.7092241219 0.8341868314 -23.5608986 -1511.290963 1817.402078 -50859.01965
0.0012 0.2619060825 -0.03000933678 -0.008538361507 -0.8566717742 1.012953762 -28.54684129 -1436.792935 1757.553133 -48841.7847
0.0013 0.2618133615 -0.02989935605 -0.01163376755 -0.9964369268 1.185640127 -33.32636747 -1357.834501 1695.883219 -46735.03928
0.0014 0.2617070651 -0.02977241769 -0.01519646705 -1.128123579 1.35208234 -37.89156764 -1275.419788 1632.770008 -44559.77746
0.0015 0.2615880167 -0.0296291527 -0.01920471972 -1.251435401 1.51215493 -42.23662465 -1190.526794 1568.587666 -42336.51657
0.0016 0.2614570646 -0.02947020278 -0.02363630361 -1.366171383 1.665768926 -46.35771914 -1104.007436 1503.601403 -40082.13629
0.0017 0.2613150727 -0.0292962168 -0.02846871043 -1.472219805 1.812869654 -50.25289836 -1016.868095 1438.321214 -37819.5607
0.0018 0.2611629119 -0.0291078475 -0.03367932242 -1.569550973 1.953434082 -53.92191825 -929.8149476 1372.959061 -35562.50116
0.0019 0.2610014523 -0.02890574844 -0.0392455763 -1.658209098 2.08746786 -57.36606686 -843.5445737 1307.786287 -33325.35729
0.002 0.2608315562 -0.02869057133 -0.04514510646 -1.738303706 2.215002191 -60.58797806 -758.6664476 1243.042488 -31120.64035
0.0021 0.2606540721 -0.02846296362 -0.05135586936 -1.810000915 2.336090648 -63.59144254 -675.6353736 1178.848262 -28956.60336
0.0022 0.2604698294 -0.02822356638 -0.05785625154 -1.873514817 2.450806031 -66.38122171 -595.0256275 1115.555534 -26846.82424
0.0023 0.260279634 -0.02797301262 -0.06462515583 -1.929099236 2.559237349 -68.96287014 -517.1258966 1053.224097 -24795.97958
0.0024 0.2600842649 -0.0277119257 -0.07164207389 -1.977039973 2.661486982 -71.34256905 -442.2192454 991.9741531 -22809.55034
0.0025 0.259884471 -0.02744091822 -0.07888714043 -2.017647684 2.757668059 -73.52697412 -370.4897649 931.8583913 -20890.43625
0.0026 0.2596809806 -0.02716060664 -0.08634075918 -2.050847755 2.847339118 -75.50817189 -292.5787271 859.560089 -18687.95147
0.0027 0.2594745575 -0.02687169367 -0.09398145013 -2.076394557 2.929752747 -77.27069917 -219.0864333 788.9947257 -16577.68513
