t px py theta vx vy omega ax ay alpha 
0.0001 0.0005099904278 0.007735849194 0 0.00179215 0 0 18.582 0 0
0.0002 0.0005102647022 0.007735849194 0 0.00371421 0 0 19.8475 0 0
0.0003 0.0005107373918 0.007735849194 0 0.00575932 0 0 21.0435 0 0
0.0004 0.0005114204595 0.007735849194 0 0.00792064 0 0 22.1715 0 0
0.0005 0.0005123251828 0.007735849194 0 0.0101913 0 0 23.2295 0 0
0.0006 0.0005134621548 0.007735849194 0 0.0125645 0 0 24.225 0 0
0.0007 0.0005148412818 0.007735849194 0 0.0150333 0 0 25.145 0 0
0.0008 0.0005164717868 0.007735849194 0 0.0175909 0 0 26 0 0
0.0009 0.0005183622063 0.007735849194 0 0.0202304 0 0 26.78 0 0
0.001 0.0005205203898 0.007735849194 0 0.0229451 0 0 27.5 0 0
0.0011 0.0005229535048 0.007735849194 0 0.0257279 0 0 28.145 0 0
0.0012 0.0005256680313 0.007735849194 0 0.0285722 0 0 28.725 0 0
0.0013 0.0005286697658 0.007735849194 0 0.0314709 0 0 29.24 0 0
0.0014 0.0005319638173 0.007735849194 0 0.0344174 0 0 29.68 0 0
0.0015 0.0005355546128 0.007735849194 0 0.0374047 0 0 30.055 0 0
0.0016 0.0005394458918 0.007735849194 0 0.0404259 0 0 30.355 0 0
0.0017 0.0005436407048 0.007735849194 0 0.0434743 0 0 30.595 0 0
0.0018 0.0005481414258 0.007735849194 0 0.0465429 0 0 30.765 0 0
0.0019 0.0005529497363 0.007735849194 0 0.049625 0 0 30.865 0 0
0.002 0.0005580666383 0.007735849194 0 0.0527136 0 0 30.895 0 0
0.0021 0.0005634924418 0.007735849194 0 0.0558019 0 0 30.855 0 0
0.0022 0.0005692267768 0.007735849194 0 0.0588831 0 0 30.75 0 0
0.0023 0.0005752685843 0.007735849194 0 0.0619502 0 0 30.58 0 0
0.0024 0.0005816161218 0.007735849194 0 0.0649965 0 0 30.34 0 0
0.0025 0.0005882669643 0.007735849194 0 0.0680152 0 0 30.025 0 0
0.0026 0.0005952179973 0.007735849194 0 0.0709992 0 0 29.645 0 0
0.0027 0.0006024654228 0.007735849194 0 0.0739419 0 0 29.195 0 0
0.0028 0.0006100047588 0.007735849194 0 0.0768363 0 0 28.68 0 0
0.0029 0.0006178308353 0.007735849194 0 0.0796756 0 0 28.095 0 0
0.003 0.0006259377968 0.007735849194 0 0.0824529 0 0 27.445 0 0
0.0031 0.0006343191073 0.007735849194 0 0.0851614 0 0 26.72 0 0
0.0032 0.0006429675393 0.007735849194 0 0.0877942 0 0 25.93 0 0
0.0033 0.0006518751848 0.007735849194 0 0.0903445 0 0 25.07 0 0
0.0034 0.0006610334498 0.007735849194 0 0.0928055 0 0 24.14 0 0
0.0035 0.0006704330543 0.007735849194 0 0.0951702 0 0 23.145 0 0
0.0036 0.0006800640293 0.007735849194 0 0.0974318 0 0 22.08 0 0
0.0037 0.0006899157248 0.007735849194 0 0.0995835 0 0 20.945 0 0
0.0038 0.0006999781503 0.007735849194 0 0.101669 0 0 21 0 0
0.0039 0.0007102511203 0.007735849194 0 0.103801 0 0 21.65 0 0
0.004 0.0007207407203 0.007735849194 0 0.106005 0 0 22.45 0 0
0.0041 0.0007314552853 0.007735849194 0 0.108304 0 0 23.55 0 0
0.0042 0.0007424054253 0.007735849194 0 0.11072 0 0 24.8 0 0
0.0043 0.0007536039953 0.007735849194 0 0.113276 0 0 26.35 0 0
0.0044 0.0007650661303 0.007735849194 0 0.115995 0 0 28.1 0 0
0.0045 0.0007768091903 0.007735849194 0 0.118899 0 0 30.05 0 0
0.0046 0.0007888528053 0.007735849194 0 0.12201 0 0 32.2 0 0
0.0047 0.0008012188503 0.007735849194 0 0.125351 0 0 34.65 0 0
0.0048 0.0008139314903 0.007735849194 0 0.128945 0 0 37.25 0 0
0.0049 0.0008270171203 0.007735849194 0 0.132815 0 0 40.15 0 0
0.005 0.0008405044053 0.007735849194 0 0.136982 0 0 43.25 0 0
0.0051 0.0008544242303 0.007735849194 0 0.141469 0 0 46.55 0 0
0.0052 0.0008688097753 0.007735849194 0 0.1463 0 0 50.1 0 0
0.0053 0.0008836964853 0.007735849194 0 0.151496 0 0 53.85 0 0
0.0054 0.0008991220153 0.007735849194 0 0.15708 0 0 57.85 0 0
0.0055 0.0009151263203 0.007735849194 0 0.163075 0 0 62.05 0 0
0.0056 0.0009317515953 0.007735849194 0 0.169504 0 0 66.5 0 0
0.0057 0.0009490422953 0.007735849194 0 0.176388 0 0 71.2 0 0
0.0058 0.0009670451453 0.007735849194 0 0.18375 0 0 76.05 0 0
0.0059 0.0009858090703 0.007735849194 0 0.191613 0 0 81.2 0 0
0.006 0.001005385325 0.007735849194 0 0.2 0 0 86.1 0 0
0.0061 0.00102579732 0.007735849194 0 0.208053 0 0 75.3 0 0
0.0062 0.00104696602 0.007735849194 0 0.215211 0 0 68.65 0 0
0.0063 0.00106882506 0.007735849194 0 0.221937 0 0 66.65 0 0
0.0064 0.00109135445 0.007735849194 0 0.228695 0 0 69.3 0 0
0.0065 0.00111458064 0.007735849194 0 0.235949 0 0 76.6 0 0
0.0066 0.00113857651 0.007735849194 0 0.244165 0 0 88.5 0 0
0.0067 0.001163461295 0.007735849194 0 0.253804 0 0 105.05 0 0
0.0068 0.00118940064 0.007735849194 0 0.265333 0 0 126.25 0 0
0.0069 0.001216606645 0.007735849194 0 0.279214 0 0 152.1 0 0
0.007 0.001245337775 0.007735849194 0 0.295912 0 0 182.65 0 0
0.0071 0.00127589896 0.007735849194 0 0.315891 0 0 217.75 0 0
0.0072 0.001308641485 0.007735849194 0 0.339616 0 0 257.55 0 0
0.0073 0.00134396307 0.007735849194 0 0.367549 0 0 301.95 0 0
0.0074 0.001382307845 0.007735849194 0 0.400156 0 0 350.95 0 0
0.0075 0.001424166335 0.007735849194 0 0.4379 0 0 404.7 0 0
0.0076 0.001470075485 0.007735849194 0 0.481246 0 0 463 0 0
0.0077 0.00152061866 0.007735849194 0 0.530657 0 0 525.95 0 0
0.0078 0.001576425605 0.007735849194 0 0.586598 0 0 593.6 0 0
0.0079 0.00163817251 0.007735849194 0 0.649533 0 0 665.9 0 0
0.008 0.00170658197 0.007735849194 0 0.719925 0 0 742.75 0 0
0.0081 0.001782422945 0.007735849194 0 0.79824 0 0 824.3 0 0
0.0082 0.001866510855 0.007735849194 0 0.88494 0 0 910.5 0 0
0.0083 0.00195970752 0.007735849194 0 0.980491 0 0 1001.3 0 0
0.0084 0.002062921085 0.007735849194 0 1.08536 0 0 1096.5 0 0
0.0085 0.002177106285 0.007735849194 0 1.2 0 0 1203 0 0
0.0086 0.002303649535 0.007735849194 0 1.33631 0 0 1527 0 0
