t px py theta vx vy omega ax ay alpha 
0 -0.04145576051 2.362435193e-06 0 0 0 0 0 0 0
1e-05 -0.0414557686 2.362435193e-06 0 -0.001617413 0 0 -147.45 0 0
2e-05 -0.04145579144 2.362435193e-06 0 -0.00295 0 0 -122.6001 0 0
3e-05 -0.04145582653 2.362435193e-06 0 -0.004069415 0 0 -104.2116 0 0
4e-05 -0.04145587205 2.362435193e-06 0 -0.005034232 0 0 -91.52925 0 0
5e-05 -0.04145592672 2.362435193e-06 0 -0.0059 0 0 -85.12695 0 0
6e-05 -0.04145598991 2.362435193e-06 0 -0.006736771 0 0 -88.6295 0 0
7e-05 -0.04145606195 2.362435193e-06 0 -0.00767259 0 0 -105.66145 0 0
8e-05 -0.04145614457 2.362435193e-06 0 -0.00885 0 0 -132.574 0 0
9e-05 -0.04145624044 2.362435193e-06 0 -0.01032407 0 0 -147.5 0 0
0.0001 -0.04145635106 2.362435193e-06 0 -0.0118 0 0 -132.8935 0 0
0.00011 -0.04145647497 2.362435193e-06 0 -0.01298194 0 0 -105.9905 0 0
0.00012 -0.04145660948 2.362435193e-06 0 -0.01391981 0 0 -88.403 0 0
0.00013 -0.04145675282 2.362435193e-06 0 -0.01475 0 0 -91.1235 0 0
0.00014 -0.04145690529 2.362435193e-06 0 -0.01574228 0 0 -147.5 0 0
0.00015 -0.0414570725 2.362435193e-06 0 -0.0177 0 0 -245.386 0 0
0.00016 -0.04145726425 2.362435193e-06 0 -0.02065 0 0 -222.9355 0 0
0.00017 -0.04145747829 2.362435193e-06 0 -0.02215871 0 0 -147.5 0 0
0.00018 -0.04145770708 2.362435193e-06 0 -0.0236 0 0 -219.5645 0 0
0.00019 -0.04145795783 2.362435193e-06 0 -0.02655 0 0 -295 0 0
0.0002 -0.04145823808 2.362435193e-06 0 -0.0295 0 0 -295 0 0
0.00021 -0.04145854783 2.362435193e-06 0 -0.03245 0 0 -221.3555 0 0
