t x y 
2e-05 -13.7597945089886 0
3e-05 -4338.24779512712 0
4e-05 -3611.4107487834 0
5e-05 -3073.86694268943 0
6e-05 -2703.38553151463 0
7e-05 -2516.70648693092 0
8e-05 -2619.84425690131 0
9e-05 -3118.75827396953 0
0.0001 -3906.5394329044 0
0.00011 -4343.19219958163 0
0.00012 -3915.40563127754 0
0.00013 -3127.91880122129 0
0.00014 -2613.32819188441 0
0.00015 -2693.23920475697 0
0.00016 -4343.45451149292 0
0.00017 -7208.04843644256 0
0.00018 -6550.08465888107 0
0.00019 -4341.71490628357 0
0.0002 -6450.66312932042 0
0.00021 -8657.79268334213 0
0.00022 -8656.89981139657 0
0.00023 -6500.82216524722 0
0.00024 -4339.04796208542 0
0.00025 -6494.01290547847 0
0.00026 -8654.66907187958 0
0.00027 -8653.82929108911 0
0.00028 -7063.04116581125 0
0.00029 -3931.73251925 0
0.0003 -1514.29702175701 0
0.00031 -425.825755301014 0
0.00032 -536.157489803871 0
0.00033 -1195.79686078103 0
0.00034 -1755.47196138926 0
0.00035 -2085.37204092659 0
0.00036 -2185.5521492613 0
0.00037 -2080.50888318347 0
0.00038 -1892.49464445371 0
0.00039 -1743.67898952404 0
0.0004 -1658.48671959544 0
0.00041 -1636.91608262763 0
0.00042 -1671.56618997639 0
0.00043 -1725.60585561752 0
0.00044 -1762.20350626059 0
0.00045 -1773.99564700684 0
0.00046 -1760.98856762333 0
0.00047 -1728.21900592422 0
0.00048 -1700.84833013265 0
0.00049 -1704.02923047606 0
0.0005 -1742.81024244561 0
0.00051 -1817.1653090906 0
0.00052 -1914.31011293192 0
0.00053 -1970.45344089418 0
0.00054 -1921.8044113709 0
0.00055 -1755.64383728833 0
0.00056 -1471.97991434196 0
0.00057 -1116.86996714113 0
0.00058 -920.360712457248 0
0.00059 -1112.35271848347 0
0.0006 -1738.68476475549 0
0.00061 -2799.24349018657 0
0.00062 -4122.68918447726 0
0.00063 -4852.94875987202 0
0.00064 -4134.39172626434 0
0.00065 -1796.32630612377 0
0.00066 2160.70642671968 0
0.00067 7123.24305548577 0
0.00068 10026.8373589445 0
0.00069 7808.40876311134 0
0.0007 -142.940855096688 0
0.00071 -13825.1302936345 0
0.00072 -32284.6351874943 0
0.00073 -50761.8949019929 0
0.00074 -64498.5530726898 0
0.00075 -72543.8105003865 0
0.00076 -74898.9157818699 0
0.00077 -72166.5080742344 0
0.00078 -67352.8020382915 0
0.00079 -63461.2825571339 0
0.0008 -61091.8194315567 0
0.00081 -60243.8481606906 0
