t x y 
2e-05 13.7597945089886 -11.191447976358
3e-05 4053.57259638497 -426.115709744567
4e-05 3374.71215377962 -356.443460678394
5e-05 2872.67021199267 -304.926667377704
6e-05 2526.67405349177 -269.429590839184
7e-05 2352.35564658122 -251.555425552674
8e-05 2448.73119805481 -261.466575443952
9e-05 2914.76238195099 -309.318939930494
0.0001 3650.58466994718 -384.858883146776
0.00011 4058.42046804913 -426.723307720583
0.00012 3658.83402378998 -385.700996122604
0.00013 2923.28762690946 -310.195093989882
0.00014 2442.65242657819 -260.862798864296
0.00015 2517.3110903278 -268.538204788223
0.00016 4058.68277996042 -426.782707385258
0.00017 6734.29253058606 -701.459975188258
0.00018 6119.67294121962 -638.3531284102
0.00019 4056.94317475107 -426.585457843646
0.0002 6026.75965238437 -628.819430157062
0.00021 8088.24922027713 -840.463783366097
0.00022 8087.35634833157 -840.372053566362
0.00023 6073.46088376083 -633.612514080109
0.00024 4054.27623055292 -426.310535048758
0.00025 6067.05899236736 -632.976902898447
0.00026 8085.12560881458 -840.189370617649
0.00027 8084.28582802411 -840.11433825852
0.00028 6598.40278200331 -687.560694158801
0.00029 3673.67044547945 -387.263392688859
0.0003 1415.74476543289 -155.427714550831
0.00031 399.116097539073 -51.0478562433646
0.00032 502.192427519223 -61.6442195765008
0.00033 1118.32253922983 -124.925984409732
0.00034 1641.0767435129 -178.620519115711
0.00035 1949.21350546582 -210.276613827074
0.00036 2042.78787495688 -219.898863145274
0.00037 1944.68338584941 -209.836304795272
0.00038 1769.08615994237 -191.814916541062
0.00039 1630.10236970984 -177.553353810484
0.0004 1550.54375342607 -169.394708641004
0.00041 1530.40759372286 -167.339018172567
0.00042 1562.78049254726 -170.676525452222
0.00043 1613.26195953609 -175.874122625803
0.00044 1647.45208238783 -179.398521315345
0.00045 1658.47389146709 -180.543233354938
0.00046 1646.33367654093 -179.308758305391
0.00047 1615.73610262469 -176.17826912798
0.00048 1590.1812086196 -173.565711020358
0.00049 1593.16035543118 -173.884358988209
0.0005 1629.38807509598 -177.618732673729
0.00051 1698.83927599119 -184.766436738405
0.00052 1789.57333722536 -194.100920883622
0.00053 1842.01270202189 -199.50141510078
0.00054 1796.58111040097 -194.846465664448
0.00055 1641.40210654863 -178.915298961711
0.00056 1376.48581681613 -151.70824853483
0.00057 1044.8487829168 -117.644519811801
0.00058 861.339599109355 -98.8006785472809
0.00059 1040.66264173005 -117.239954931503
0.0006 1625.61880340224 -177.362844579019
0.00061 2616.09375771132 -279.160677547565
0.00062 3852.06143738685 -406.190753750782
0.00063 4534.02372711369 -476.290595445003
0.00064 3862.92124791416 -407.334884566658
0.00065 1679.37779594265 -182.933138959421
0.00066 -2016.06458964295 196.870906716647
0.00067 -6650.45923482809 673.198378921858
0.00068 -9361.93784024385 951.891703537791
0.00069 -7289.99678843893 738.905078492392
0.0007 135.747231559806 -24.4173367604544
