t px py theta vx vy omega ax ay alpha 
0 0.2621636034 -0.03031121372 0 0 0 0 0 0 0
1e-05 0.262163597 -0.03031120629 -2.109620212e-07 -0.001278111933 0.001485367677 -0.042166317 -116.5177581 135.4121412 -3844.050931
2e-05 0.2621635789 -0.03031118532 -8.063293475e-07 -0.00233114443 0.002709160806 -0.07690706929 -96.8803102 112.5907594 -3196.196966
3e-05 0.2621635512 -0.03031115309 -1.721316528e-06 -0.003215717776 0.003737182722 -0.1060902489 -82.3486493 95.70321451 -2716.79027
4e-05 0.2621635152 -0.03031111129 -2.907982823e-06 -0.003978117322 0.004623225059 -0.1312428728 -72.3260308 84.05594233 -2386.142721
5e-05 0.262163472 -0.03031106108 -4.333263449e-06 -0.004662238333 0.005418301545 -0.1538131021 -67.26595406 78.17598667 -2219.21586
6e-05 0.2621634221 -0.03031100305 -5.980465701e-06 -0.005323436107 0.006186744675 -0.1756271839 -70.03267991 81.39216855 -2310.506398
7e-05 0.2621633652 -0.03031093689 -7.85871865e-06 -0.006062890799 0.007046144466 -0.2000232069 -83.49009167 97.0330079 -2754.500838
8e-05 0.2621632999 -0.03031086102 -1.001242181e-05 -0.006993235464 0.008127403849 -0.2307171499 -104.7544998 121.747459 -3456.067277
9e-05 0.2621632241 -0.03031077298 -1.251173195e-05 -0.008157977176 0.009481092209 -0.2691444782 -116.5462827 135.4536958 -3845.129075
0.0001 0.2621631367 -0.03031067139 -1.539555536e-05 -0.009324159723 0.01083647721 -0.3076197027 -105.0013748 122.0386508 -3464.281834
0.00011 0.2621630388 -0.0303105576 -1.862580717e-05 -0.01025800683 0.01192186608 -0.3384301592 -83.74039568 97.3313347 -2762.879902
0.00012 0.2621629325 -0.03031043407 -2.213234689e-05 -0.01099896992 0.01278310481 -0.3628773477 -69.84084026 81.17905444 -2304.3378
0.00013 0.2621628193 -0.03031030243 -2.586932028e-05 -0.01165482457 0.01354544754 -0.3845169342 -71.98815572 83.67646918 -2375.211014
0.00014 0.2621626988 -0.03031016242 -2.984381474e-05 -0.01243873024 0.01445663309 -0.4103815106 -116.5311375 135.4476806 -3844.818402
0.00015 0.2621625667 -0.03031000886 -3.42027913e-05 -0.01398543136 0.01625439482 -0.461412975 -193.8688194 225.33681 -6396.445486
0.00016 0.2621624152 -0.03030983278 -3.920141371e-05 -0.01631608599 0.01896336109 -0.5383099969 -176.1199756 204.7159828 -5810.991603
0.00017 0.262162246 -0.03030963622 -4.478113719e-05 -0.01750785566 0.02034872432 -0.5776333154 -116.5103992 135.4394439 -3844.393
0.00018 0.2621620653 -0.03030942611 -5.074529836e-05 -0.01864629401 0.02167214998 -0.6151978578 -173.4420508 201.6145931 -5722.819786
0.00019 0.2621618672 -0.03030919584 -5.728174163e-05 -0.02097665946 0.0243810014 -0.6920889479 -233.0293865 270.8822985 -7688.962171
0.0002 0.2621616457 -0.03030893849 -6.458708416e-05 -0.02330687624 0.02708979377 -0.7689769883 -233.0136935 270.8760656 -7688.640267
0.00021 0.262161401 -0.03030865405 -7.266129156e-05 -0.02563692783 0.02979852053 -0.8458616403 -174.8139544 203.2421463 -5768.621713
0.00022 0.2621611388 -0.03030834928 -8.131236198e-05 -0.02680319725 0.03115465334 -0.8843502825 -116.4555616 135.4176633 -3843.268142
0.00023 0.262160865 -0.03030803097 -9.034775643e-05 -0.02796603782 0.0325068733 -0.9227269778 -174.6251032 203.0395885 -5762.667273
0.00024 0.2621605737 -0.03030769236 -9.99594178e-05 -0.03029564625 0.03521542404 -0.9996025396 -232.9503842 270.8509199 -7687.341646
0.00025 0.2621602591 -0.03030732667 -0.0001103397146 -0.03262504002 0.03792388952 -1.076473698 -232.928092 270.8420655 -7686.884385
0.00026 0.2621599212 -0.03030693389 -0.0001214887877 -0.0349542026 0.04063226317 -1.153340115 -189.9823648 220.9384326 -6270.156802
0.00027 0.2621595643 -0.03030651901 -0.0001332648795 -0.0364247291 0.04234267476 -1.201877691 -105.4474553 122.6824981 -3481.044655
0.00028 0.2621591968 -0.03030609187 -0.0001453890788 -0.03706319649 0.04308593092 -1.222961926 -40.18030827 46.81615222 -1327.554899
0.00029 0.2621588254 -0.03030566004 -0.0001576460354 -0.03722836172 0.04327900832 -1.228429332 -10.78649794 12.64714299 -357.677844
0.0003 0.2621584528 -0.03030522696 -0.0001699387602 -0.03727893292 0.04333887635 -1.230115616 -13.75380014 16.09740907 -455.6016685
0.00031 0.2621580789 -0.03030479226 -0.0001822770446 -0.03750342784 0.04360095257 -1.237541162 -31.55000626 36.78873201 -1042.870183
0.00032 0.2621577019 -0.03030435388 -0.0001947196152 -0.03790992256 0.04407464682 -1.250972804 -46.64842695 54.34569005 -1541.150269
0.00033 0.2621573201 -0.03030391007 -0.0002073163004 -0.03843638923 0.04468786353 -1.268364021 -55.54462674 64.69331548 -1834.78987
0.00034 0.2621569328 -0.03030345978 -0.0002200964643 -0.03902081139 0.04536851166 -1.287668526 -58.23976031 67.83206693 -1923.812671
0.00035 0.2621565397 -0.03030300272 -0.0002330690095 -0.03960118433 0.04604450483 -1.306840273 -55.39478614 64.5295242 -1830.015311
0.00036 0.2621561411 -0.0303025392 -0.0002462245564 -0.04012870998 0.04665910328 -1.324268891 -50.30981586 58.62202927 -1662.289907
0.00037 0.2621557374 -0.03030206982 -0.0002595463325 -0.04060738337 0.0472169465 -1.340086127 -46.28284066 53.94417515 -1529.470287
0.00038 0.2621553291 -0.03030159505 -0.0002730210557 -0.04105436853 0.04773798748 -1.354858332 -43.97328557 51.26293254 -1453.321639
0.00039 0.2621549164 -0.03030111514 -0.0002866411112 -0.04148684979 0.04824220543 -1.369152574 -43.38120043 50.57862348 -1433.849915
0.0004 0.2621544993 -0.03030063019 -0.0003004045516 -0.04192199218 0.0487495598 -1.383535323 -44.30688209 51.65929344 -1464.468843
0.00041 0.2621540779 -0.03030014006 -0.0003143144388 -0.04237298622 0.04927539082 -1.398441926 -45.75609512 53.34898572 -1512.369375
0.00042 0.2621536518 -0.0302996446 -0.000328375563 -0.04283711302 0.04981653909 -1.413782689 -46.73451005 54.49140398 -1544.735604
0.00043 0.2621532211 -0.03029914369 -0.0003425911606 -0.04330767578 0.05036521864 -1.429336625 -47.04331506 54.85525001 -1555.004471
