t x y 
2e-05 13.7597945089886 44.6991278668581
3e-05 3345.450737067 -160.770523903561
4e-05 2798.55003920511 -125.761714310758
5e-05 2394.29957707485 -99.7958428975307
6e-05 2115.91989211865 -81.8363295365129
7e-05 1976.00919606607 -72.7002320163968
8e-05 2054.41467992037 -77.4937922113613
9e-05 2430.9372183664 -101.330454735118
0.0001 3025.00697528218 -139.102921809711
0.00011 3354.46781488454 -160.088055772211
0.00012 3032.66143746519 -139.60093942178
0.00013 2439.91183145687 -101.808204874535
0.00014 2052.81121507211 -77.0566653866959
0.00015 2113.62140304518 -80.8042651408028
0.00016 3357.44325720665 -159.914802025831
0.00017 5516.03706756124 -297.382928884768
0.00018 5020.68171378239 -265.952174771911
0.00019 3357.34449503947 -160.090446121655
0.0002 4946.67862886338 -261.245642783795
0.00021 6609.89367958089 -367.164148796648
0.00022 6609.57198213891 -367.211530135012
0.00023 4985.60828438207 -263.863275850471
0.00024 3357.43458269366 -160.190640785476
0.00025 4981.41081586063 -263.506129759297
0.00026 6609.59723015124 -367.124205157579
0.00027 6609.3406778787 -367.109810346057
0.00028 5411.29433158415 -290.835375518382
0.00029 3052.75469129277 -140.663300780891
0.0003 1232.10193452094 -24.6863883954812
0.00031 412.672090197818 27.5923555136201
0.00032 496.366093046705 22.4006437944817
0.00033 993.858860630104 -9.13117923391449
0.00034 1416.02053256475 -35.8784372656508
0.00035 1665.06923878728 -51.6160601950367
0.00036 1741.05334217608 -56.3438709857445
0.00037 1662.43969290434 -51.2332864079788
0.00038 1521.32400813903 -42.1434876458368
0.00039 1409.73785173262 -34.9308112708968
0.0004 1346.08036857258 -30.7666804834378
0.00041 1330.34758160639 -29.651839479382
0.00042 1356.9619292322 -31.2323198335205
0.00043 1398.17340821539 -33.7432170734543
0.00044 1426.24431898049 -35.4188356098296
0.00045 1435.62683711588 -35.9059933547002
0.00046 1426.32255673365 -35.2047804623759
0.00047 1402.1328536128 -33.5560574772878
0.00048 1382.00637073412 -32.1659196295148
0.00049 1384.88807236095 -32.2401945161814
0.0005 1414.58333761191 -34.0211895229964
0.00051 1471.06650723558 -37.5083787375478
0.00052 1544.70466396262 -42.0895702911776
0.00053 1587.47193668425 -44.7063731709034
0.00054 1551.2863953734 -42.3020233794935
0.00055 1426.59732470393 -34.2642929856091
0.00056 1213.41695911305 -20.5916735194225
0.00057 946.417930399299 -3.49075543489981
0.00058 798.925677377259 6.01612604838572
0.00059 944.012216334327 -3.09475468978257
0.0006 1416.15750231454 -33.0278471385179
0.00061 2215.33895486945 -83.7815026615779
0.00062 3212.45331758541 -147.152524720074
0.00063 3762.73834017649 -182.117631020638
0.00064 3221.92733836829 -147.660218171101
0.00065 1461.53199584599 -35.5810931357476
0.00066 -1517.97366980977 154.115710299866
0.00067 -5254.47566402222 392.06584507347
0.00068 -7440.23710390401 531.46043145672
0.00069 -5768.7568601944 425.507861460531
0.0007 219.698902455312 44.8030835323196
0.00071 10523.1909145801 -610.734116288838
0.00072 24423.4223726915 -1495.45793195122
0.00073 38336.2787236046 -2381.10797865062
0.00074 48678.8365793502 -3039.4217809155
0.00075 54735.284860396 -3424.71161250643
0.00076 56506.6940549821 -3537.05830741337
0.00077 54447.1647003381 -3405.43502823683
0.00078 50820.5364580741 -3173.9642746127
0.00079 47888.2928183141 -2986.5565057709
0.0008 46102.0011042126 -2871.94978939457
0.00081 45461.1410379183 -2830.10096842289
0.00082 45843.2974791569 -2853.20336856375
0.00083 46642.058921201 -2902.66649342005
0.00084 47252.5113322751 -2940.01839777011
0.00085 47553.9293874982 -2957.59092629073
0.00086 47546.3422049708 -2955.3994691727
0.00087 47262.8870832068 -2935.56237754996
0.00088 46865.8436953196 -2908.41048373349
0.00089 46516.8712168139 -2884.22867082101
0.0009 46248.3419301885 -2865.07062682109
0.00091 46060.3632722327 -2850.94103050212
0.00092 45943.9539785238 -2841.26609497534
0.00093 45855.7601932819 -2833.28666614826
0.00094 45752.4591092368 -2824.25538386094
0.00095 45625.5458535226 -2813.62968312562
0.00096 45475.1769424722 -2801.42358788308
0.00097 45303.5631047589 -2787.78326854966
0.00098 45122.5132217883 -2773.45530249342
0.00099 44943.4527025646 -2759.16960293262
0.001 44768.6395262945 -2745.07338964185
0.00101 44598.3659898234 -2731.18152873787
0.00102 44431.8601227968 -2717.44719185519
0.00103 44266.073675989 -2703.67916084243
0.00104 44097.9252110288 -2689.68004709472
0.00105 43926.7513820727 -2675.41201241992
0.00106 43752.7123373569 -2660.88503467129
0.00107 43575.9473995616 -2646.10927942528
0.00108 43397.3519441201 -2631.1428166962
0.00109 43217.7098543062 -2616.0365373197
0.0011 43037.2627165927 -2600.8068883713
0.00111 42856.0146087137 -2585.45670498531
0.00112 42673.9042388692 -2569.98176424903
0.00113 42490.8708523634 -2554.37790143171
0.00114 42306.683163363 -2538.63450599298
0.00115 42121.0460632866 -2522.73406690943
0.00116 41934.3518000294 -2506.69974067157
0.00117 41746.7128580582 -2490.54122387697
0.00118 41557.8348478718 -2474.24106437223
0.00119 41367.8313128543 -2457.80908418808
0.0012 41176.8573905573 -2441.25482788201
0.00121 40984.961031751 -2424.58105702296
0.00122 40792.1057081997 -2407.79094432121
0.00123 40599.4459531041 -2390.95433621373
0.00124 40404.8550036633 -2373.93914295399
0.00125 40208.3465242045 -2356.74931098552
0.00126 40013.1729884411 -2339.58845036024
0.00127 39817.1899165919 -2322.3248157024
0.00128 39618.3308452394 -2304.82787723867
0.00129 39419.8237525061 -2287.30147910783
0.0013 39221.622939351 -2269.74766328337
0.00131 39021.6868508355 -2252.03610446739
0.00132 38821.1404168773 -2234.23611625422
0.00133 38619.9252497058 -2216.35087582481
0.00134 38418.1092806494 -2198.38296869419
0.00135 38216.7876662616 -2180.40113842429
0.00136 38013.8218172693 -2162.27575240775
0.00137 37809.309757937 -2144.01043810353
0.00138 37606.4107772064 -2125.805057668
0.00139 37402.9900604543 -2107.53025170491
0.0014 37197.035057494 -2089.05794852907
0.00141 36991.7219946095 -2070.58805038713
0.00142 36787.023377653 -2052.12218382694
0.00143 36580.909767922 -2033.532697896
0.00144 36374.4449198924 -2014.88762349384
0.00145 36167.6528624229 -1996.1895885014
0.00146 35960.5574329397 -1977.44120399863
0.00147 35753.1612284009 -1958.64515596722
0.00148 35546.5372164053 -1939.86846088152
0.00149 35338.6681487599 -1920.98391314393
0.0015 35129.5456709341 -1901.99557055783
0.00151 34922.286369046 -1883.09822052641
0.00152 34714.8561125573 -1864.16505708917
0.00153 34505.2187662494 -1845.07135801772
0.00154 34296.5071853221 -1826.01195952558
0.00155 34088.7111481421 -1806.98799995281
0.00156 33879.7990442819 -1787.87510786589
0.00157 33670.8318486019 -1768.73934703235
0.00158 33461.8307890296 -1749.5830951251
0.00159 33252.8168541776 -1730.40870804481
0.0016 33044.8188216699 -1711.2814587889
0.00161 32835.8151484564 -1692.07720339919
0.00162 32625.8587612303 -1672.79960938998
