t x y 
2e-05 -0.463917480414482 -30.1247137460745
3e-05 -17.6553745089883 -445.048975514283
4e-05 -14.7686622015004 -375.37672644811
5e-05 -12.6341803978772 -323.859933147421
6e-05 -11.1634394876903 -288.362856608901
7e-05 -10.422864188245 -270.488691322391
8e-05 -10.8335107634947 -280.399841213668
9e-05 -12.8161659568845 -328.252205700211
0.0001 -15.945993419121 -403.792148916493
0.00011 -17.6805514923841 -445.656573490299
0.00012 -15.9808843644031 -404.63426189232
0.00013 -12.8524674493992 -329.128359759598
0.00014 -10.8084951069123 -279.796064634013
0.00015 -11.1265085204358 -287.471470557939
0.00016 -17.6830133309622 -445.715973154974
0.00017 -29.0636474071514 -720.393240957974
0.00018 -26.4489570797007 -657.286394179917
0.00019 -17.6748403109095 -445.518723613363
0.0002 -26.0539498697937 -647.752695926778
0.00021 -34.822957353634 -859.397049135814
0.00022 -34.8191567343769 -859.305319336079
0.00023 -26.2525404803662 -652.545779849826
0.00024 -17.6634494778495 -445.243800818475
0.00025 -26.2262058594969 -651.910168668163
0.00026 -34.8115887437838 -859.122636387365
0.00027 -34.8084802042012 -859.047604028236
0.00028 -28.4877631722957 -706.493959928517
0.00029 -16.0456196521864 -406.196658458576
0.0003 -6.44002950535025 -174.360980320548
0.00031 -2.11528481691854 -69.9811220130811
0.00032 -2.55432160635533 -80.5774853462174
0.00033 -5.17625972629848 -143.859250179449
0.00034 -7.40097252468825 -197.553784885428
0.00035 -8.71257205250661 -229.209879596791
0.00036 -9.11124865239928 -238.83212891499
0.00037 -8.69432940884906 -228.769570564989
0.00038 -7.94765389044065 -210.748182310779
0.00039 -7.35675830161998 -196.4866195802
0.0004 -7.01872341348544 -188.327974410721
0.00041 -6.9335507721212 -186.272283942284
0.00042 -7.07183319572228 -189.609791221938
0.00043 -7.28718428016922 -194.80738839552
0.00044 -7.43321013622544 -198.331787085061
0.00045 -7.48063900607893 -199.476499124655
0.00046 -7.42949158454372 -198.242024075108
0.00047 -7.29978705971988 -195.111534897697
0.00048 -7.19154184827996 -192.498976790074
0.00049 -7.20474460408004 -192.817624757925
0.0005 -7.35947031959165 -196.551998443446
0.00051 -7.65561975351237 -203.699702508122
0.00052 -8.04237353935573 -213.034186653339
0.00053 -8.26613124964213 -218.434680870497
0.00054 -8.0732641098271 -213.779731434164
0.00055 -7.41319207873727 -197.848564731427
0.00056 -6.28592895969794 -170.641514304547
0.00057 -4.8745746507723 -136.577785581518
0.00058 -4.09382240882779 -117.733944316997
0.00059 -4.85781299547228 -136.173220701219
0.0006 -7.34887118868078 -196.296110348735
0.00061 -11.566637839492 -298.093943317281
0.00062 -16.8298463622463 -425.124019520499
0.00063 -19.7342775194045 -495.22386121472
0.00064 -16.8772515197397 -426.268150336375
0.00065 -7.57966497633372 -201.866404729138
0.00066 8.15667033775239 177.937640946931
0.00067 27.8922394915071 654.265113152142
0.00068 39.4392775192718 932.958437768075
0.00069 30.614649826601 719.971812722676
0.0007 -1.01191857092911 -43.350602530171
0.00071 -55.4324972089697 -1356.81738993525
0.00072 -128.855742745481 -3128.92263424941
