t px py theta vx vy omega ax ay alpha 
0 0.1886971684 -0.03491564642 0 0 0 0 0 0 0
1e-05 0.1886971586 -0.03491565542 -4.768387346e-08 -0.00195018982 -0.001798449504 -0.009530877091 -177.787282 -163.9538407 -868.872844
2e-05 0.1886971311 -0.03491568081 -1.822550928e-07 -0.003556951286 -0.003280187657 -0.01738334388 -147.8245471 -136.3218572 -722.4372974
3e-05 0.1886970888 -0.03491571984 -3.890700876e-07 -0.004906680725 -0.004524886235 -0.02397962089 -125.6526071 -115.8743364 -614.0758008
4e-05 0.1886970339 -0.03491577045 -6.57292688e-07 -0.006070003419 -0.005597674277 -0.02966485934 -110.3608293 -101.7715721 -539.3383275
5e-05 0.188696968 -0.03491583124 -9.79449138e-07 -0.007113897304 -0.006560317611 -0.03476638709 -102.6411906 -94.65169189 -501.6066327
6e-05 0.1886968918 -0.03491590149 -1.351766263e-06 -0.0081228272 -0.007490707776 -0.03969699023 -106.8642671 -98.5450719 -522.2396945
7e-05 0.1886968049 -0.0349159816 -1.776307374e-06 -0.009251182528 -0.008531217755 -0.04521117424 -127.4003145 -117.4816049 -622.593947
8e-05 0.1886967053 -0.03491607346 -2.263107917e-06 -0.01067083323 -0.009840337047 -0.05214885443 -159.8497706 -147.403699 -781.1662302
9e-05 0.1886965897 -0.03491618006 -2.828025155e-06 -0.01244817756 -0.0114792876 -0.06083447731 -177.8464238 -163.9968903 -869.1021001
0.0001 0.1886964564 -0.03491630306 -3.47985271e-06 -0.01422776156 -0.01312027326 -0.06953088813 -160.2344227 -147.7525648 -783.0156117
0.00011 0.1886963069 -0.03491644083 -4.209981887e-06 -0.01565286624 -0.01443434137 -0.07649480241 -127.7960521 -117.8363872 -624.475101
0.00012 0.1886961448 -0.03491659039 -5.002558552e-06 -0.01678368284 -0.01547700362 -0.08202040377 -106.5898252 -98.27853911 -520.8285096
0.00013 0.1886959719 -0.03491674977 -5.847218036e-06 -0.01778466284 -0.01639991321 -0.08691137812 -109.8697997 -101.3007141 -536.844767
0.00014 0.1886957881 -0.03491691929 -6.745561989e-06 -0.01898107854 -0.0175030147 -0.09275728245 -177.8448445 -163.9795939 -869.0119751
0.00015 0.1886955865 -0.0349171052 -7.730807211e-06 -0.02134155807 -0.01967948687 -0.1042915227 -295.8690945 -272.806201 -1445.739612
0.00016 0.1886953553 -0.03491731839 -8.860626775e-06 -0.02489845828 -0.02295911515 -0.1216719519 -268.7986506 -247.8336739 -1313.398602
0.00017 0.1886950972 -0.03491755637 -1.012178675e-05 -0.02671753367 -0.02463618865 -0.1305596422 -177.842682 -163.9559099 -868.8885668
0.00018 0.1886948213 -0.03491781074 -1.146983512e-05 -0.02845531193 -0.0262382334 -0.1390497235 -264.73261 -244.0692636 -1293.450552
0.00019 0.188694519 -0.03491808952 -1.294722858e-05 -0.03201218199 -0.02951753143 -0.1564284318 -355.6862594 -327.9216277 -1737.828239
0.0002 0.1886941811 -0.03491840109 -1.459840574e-05 -0.03556903654 -0.03279665966 -0.1738062555 -355.6846229 -327.9037057 -1737.734854
0.00021 0.1886938076 -0.03491874546 -1.642335663e-05 -0.03912587387 -0.03607559925 -0.1911830961 -266.8875779 -246.0111876 -1303.746175
0.00022 0.1886934075 -0.03491911442 -1.837868239e-05 -0.04090679247 -0.03771693129 -0.1998814284 -177.8369632 -163.893283 -868.5622413
0.00023 0.1886929895 -0.03491949977 -2.042086357e-05 -0.042682613 -0.0393534635 -0.2085543336 -266.6308589 -245.7513143 -1302.371222
0.00024 0.1886925449 -0.0349199097 -2.259328192e-05 -0.04623940411 -0.04263189698 -0.2259285371 -355.6780202 -327.8314037 -1737.358115
0.00025 0.1886920647 -0.0349203524 -2.493940743e-05 -0.04979617284 -0.0459100853 -0.2433014632 -355.6756952 -327.8059449 -1737.225459
0.00026 0.188691549 -0.03492082789 -2.7459281e-05 -0.05335291745 -0.04918800961 -0.2606730136 -290.1588298 -267.3785061 -1416.991256
0.00027 0.1886910042 -0.03492133012 -3.012085455e-05 -0.05559935379 -0.05125770315 -0.271641537 -161.1481581 -148.4237143 -786.5890074
0.00028 0.1886904433 -0.03492184719 -3.286108789e-05 -0.05657588528 -0.05215653504 -0.2764050603 -61.53212713 -56.57996775 -299.8613086
0.00029 0.1886898763 -0.03492236992 -3.563130789e-05 -0.05682999909 -0.05238933272 -0.2776389206 -16.66569123 -15.21648147 -80.65448935
0.0003 0.1886893076 -0.03492289418 -3.840959346e-05 -0.05690919978 -0.05246087206 -0.2780181886 -21.19664117 -19.39243591 -102.7851836
0.00031 0.1886887368 -0.03492342037 -4.119815736e-05 -0.05725393088 -0.05277717014 -0.2796945654 -48.36806931 -44.43696195 -235.5098021
0.00032 0.1886881611 -0.034923951 -4.401027203e-05 -0.05787656007 -0.05334959932 -0.2827283222 -71.42476698 -65.68570315 -348.1187893
0.00033 0.1886875783 -0.0349244882 -4.685719844e-05 -0.05868242548 -0.05409087605 -0.2866568987 -85.01533724 -78.20673504 -414.4751281
0.00034 0.1886869871 -0.03492503322 -4.974557228e-05 -0.05957686643 -0.05491372979 -0.2910178027 -89.13990053 -82.00137632 -434.5856898
0.00035 0.1886863868 -0.03492558645 -5.26774047e-05 -0.06046522348 -0.05573090345 -0.2953486119 -84.80593404 -77.99947763 -413.3781408
0.00036 0.1886857782 -0.03492614747 -5.565057499e-05 -0.06127298541 -0.05647372262 -0.2992853826 -77.0508972 -70.84505135 -375.4635537
0.00037 0.1886851618 -0.03492671558 -5.866129169e-05 -0.0620062417 -0.05714780759 -0.3028578992 -70.91034331 -65.17937401 -345.4385976
0.00038 0.1886845383 -0.0349272902 -6.170655229e-05 -0.06269119246 -0.05777731208 -0.3061941649 -67.39158961 -61.93054496 -328.2218137
0.00039 0.188683908 -0.03492787102 -6.478463508e-05 -0.06335407357 -0.0583864193 -0.3094223396 -66.49520296 -61.09872589 -323.8140936
0.0004 0.1886832712 -0.03492845795 -6.789509928e-05 -0.06402109648 -0.05899928619 -0.3126704446 -67.91671439 -62.40295738 -330.7265116
0.00041 0.1886826275 -0.03492905112 -7.10386361e-05 -0.06471240773 -0.05963447706 -0.3160368627 -70.13815717 -64.44406394 -341.5440756
0.00042 0.1886819768 -0.03492965073 -7.421632731e-05 -0.06542385951 -0.06028816625 -0.3195013198 -71.64099312 -65.82265791 -348.8506388
0.00043 0.188681319 -0.03493025693 -7.742890357e-05 -0.06614522753 -0.06095092948 -0.3230138716 -72.12140791 -66.25890262 -351.1631748
0.00044 0.1886806539 -0.03493086975 -8.067659615e-05 -0.06686628765 -0.06161334407 -0.326524582 -71.57941665 -65.75296331 -348.4825447
0.00045 0.1886799817 -0.03493148915 -8.395913699e-05 -0.06757681588 -0.06226598902 -0.3299835239 -70.22240714 -64.49608565 -341.8222548
0.00046 0.1886793025 -0.03493211499 -8.727586006e-05 -0.06827073584 -0.06290326637 -0.3333610302 -69.08785164 -63.44429167 -336.2488112
0.00047 0.1886786163 -0.03493274718 -9.062620802e-05 -0.06895857292 -0.06353487493 -0.3367085005 -69.21319942 -63.55335165 -336.8274081
0.00048 0.1886779232 -0.03493338573 -9.401023871e-05 -0.06965499977 -0.06417433273 -0.3400975749 -70.80700548 -65.01520109 -344.575245
0.00049 0.1886772231 -0.03493403078 -9.74287269e-05 -0.0703747129 -0.0648351775 -0.3435999979 -73.86864341 -67.82902651 -359.4880339
0.0005 0.1886765156 -0.03493468261 -0.0001008831639 -0.07113237243 -0.06553091101 -0.3472873238 -77.87122711 -71.50918914 -378.9921093
0.00051 0.1886758002 -0.03493534159 -0.0001043755 -0.07193213721 -0.06626535876 -0.3511798269 -80.18345705 -73.63155073 -390.2405235
0.00052 0.1886750769 -0.03493600794 -0.0001079068601 -0.07273604152 -0.06700354149 -0.3550921315 -78.17349287 -71.77209595 -380.3869196
0.00053 0.1886743457 -0.03493668146 -0.000111476259 -0.07349560726 -0.06770080278 -0.3587875762 -71.31515579 -65.44688481 -346.8665334
0.00054 0.1886736075 -0.03493736152 -0.0001150803447 -0.07416234508 -0.06831248401 -0.3620294873 -59.60732284 -54.65571109 -289.6781915
0.00055 0.1886728632 -0.03493804706 -0.0001187133983 -0.07468775441 -0.06879392462 -0.3645811798 -44.9489198 -41.14849818 -218.0957285
0.00056 0.1886721145 -0.0349387367 -0.0001223682616 -0.07506132424 -0.06913546231 -0.3663914453 -36.83054407 -33.66699434 -178.4470195
0.00057 0.188671362 -0.03493942972 -0.0001260409696 -0.07542436534 -0.06946726503 -0.3681501229 -44.74135375 -40.94928042 -217.0407311
0.00058 0.1886706051 -0.03494012682 -0.0001297353815 -0.07595615044 -0.06995443835 -0.3707322101 -70.57807441 -64.73932749 -343.1195343
0.00059 0.1886698412 -0.03494083041 -0.000133464105 -0.07683592501 -0.07076203166 -0.3750124098 -114.3409944 -105.0342503 -556.6684445
0.0006 0.1886690658 -0.03494154449 -0.0001372484949 -0.07824296751 -0.07205509255 -0.3818654185 -168.9650111 -155.3243956 -823.1890197
0.00061 0.1886682735 -0.03494227411 -0.000141115203 -0.08021522209 -0.07386848524 -0.3914760113 -199.1219888 -183.0750702 -970.2594329
0.00062 0.1886674613 -0.03494302204 -0.0001450789371 -0.0822254069 -0.07571658974 -0.4012705852 -169.487127 -155.7639118 -825.5223059
0.00063 0.1886666321 -0.03494378554 -0.000149125224 -0.08360496802 -0.07698380057 -0.4079866507 -72.9957003 -66.89747068 -354.5635297
0.00064 0.1886657957 -0.03494455573 -0.0001532069687 -0.08368532824 -0.07705461944 -0.4083622741 90.35158963 83.51054149 442.5454984
0.00065 0.1886649683 -0.03494531757 -0.0001572444609 -0.08179794734 -0.07531371126 -0.3991363739 295.2533911 272.1518992 1442.28054
0.00066 0.1886641704 -0.0349460522 -0.0001611377273 -0.07778027182 -0.07161170608 -0.3795173126 415.2128773 382.5578773 2027.397966
0.00067 0.188663414 -0.03494674857 -0.000164828254 -0.07349369043 -0.06766256069 -0.3585884509 323.7371134 298.2962787 1580.844533
0.00068 0.18866269 -0.03494741511 -0.0001683606942 -0.07130551855 -0.06564566013 -0.3478997948 -4.468876886 -3.883469524 -20.60349163
0.00069 0.1886619656 -0.03494808204 -0.0001718951906 -0.07358304611 -0.06773999097 -0.3589992749 -569.4013967 -523.9409381 -2776.735443
0.0007 0.1886611842 -0.03494880136 -0.0001757073538 -0.08269351032 -0.07612408348 -0.4034324432 -1331.759038 -1225.649791 -6495.568316
0.00071 0.1886602696 -0.03494964324 -0.0001801690636 -0.1002181708 -0.09225237329 -0.4889074444 -2095.050715 -1928.070944 -10218.19048
0.00072 0.1886591456 -0.03495067793 -0.0001856525806 -0.1245944576 -0.1146847692 -0.6077924327 -2662.781692 -2450.29182 -12985.82788
0.00073 0.1886577552 -0.03495195765 -0.0001924346686 -0.1534737342 -0.1412574397 -0.7486199898 -2995.661858 -2756.143236 -14606.79586
0.00074 0.1886560653 -0.03495351298 -0.0002006774262 -0.1845076316 -0.1698069441 -0.8999247555 -3093.696811 -2845.662316 -15081.28806
0.00075 0.188654066 -0.03495535287 -0.0002104283068 -0.2153476296 -0.1981702398 -1.050243426 -2981.693373 -2741.753868 -14530.68569
0.00076 0.1886517686 -0.03495746694 -0.000221632256 -0.2441414888 -0.2246419095 -1.190537886 -2783.738041 -2558.699669 -13560.6392
0.00077 0.1886491928 -0.03495983688 -0.0002341922701 -0.2710223871 -0.2493441976 -1.321456024 -2623.886156 -2410.682238 -12776.27981
0.00078 0.1886463545 -0.03496244789 -0.0002480299123 -0.2966192044 -0.2728554736 -1.446063062 -2526.94543 -2320.513508 -12298.50567
0.00079 0.1886432636 -0.03496529095 -0.0002630974035 -0.3215612801 -0.2957542982 -1.567425254 -2492.931044 -2288.178444 -12127.2399
0.0008 0.1886399235 -0.03496836282 -0.0002793776148 -0.3464777979 -0.3186187439 -1.688606304 -2515.178973 -2307.50882 -12229.79622
0.00081 0.1886363317 -0.03497166545 -0.0002968807996 -0.37186482 -0.3419040441 -1.812018935 -2560.433575 -2347.885479 -12443.90374
0.00082 0.188632484 -0.03497520286 -0.0003156283685 -0.397686429 -0.3655760134 -1.937482086 -2595.472703 -2378.753673 -12607.62969
0.00083 0.1886283767 -0.03497897815 -0.0003356366947 -0.4237742366 -0.3894787106 -2.064169409 -2613.64946 -2394.011752 -12688.63567
0.00084 0.188624008 -0.03498299283 -0.0003569138797 -0.4499593847 -0.4134558854 -2.191252907 -2614.94713 -2393.658097 -12686.91177
0.00085 0.1886193778 -0.03498724688 -0.0003794597519 -0.4760731508 -0.4373515643 -2.317906037 -2601.163305 -2379.360816 -12611.29709
0.00086 0.1886144876 -0.03499173887 -0.0004032667507 -0.5019826272 -0.4610428459 -2.443477516 -2581.206792 -2359.319003 -12505.24432
0.00087 0.1886093392 -0.03499646679 -0.0004283242711 -0.5276972635 -0.4845376947 -2.568009623 -2563.973074 -2341.70681 -12412.07518
0.00088 0.1886039344 -0.03500142888 -0.0004546229959 -0.5532620647 -0.5078767238 -2.691717673 -2551.245718 -2328.159724 -12340.45782
0.00089 0.1885982744 -0.03500662378 -0.0004821557631 -0.5787221528 -0.5311006193 -2.814817373 -2543.036384 -2318.684655 -12290.42924
0.0009 0.1885923602 -0.03501205056 -0.0005109175697 -0.604122766 -0.5542501325 -2.937524776 -2538.856508 -2312.828793 -12259.58998
0.00091 0.1885861921 -0.03501770861 -0.0005409053314 -0.6294992554 -0.5773568982 -3.060007625 -2536.319461 -2308.398837 -12236.31591
0.00092 0.1885797704 -0.0350235975 -0.0005721167209 -0.6548491279 -0.6004178154 -3.182249563 -2533.039056 -2303.206271 -12209.00783
0.00093 0.1885730953 -0.03502971672 -0.0006045490076 -0.6801600098 -0.623420738 -3.304186293 -2528.539477 -2296.816992 -12175.36476
0.00094 0.1885661674 -0.03503606561 -0.0006381988272 -0.7054198916 -0.6463538786 -3.425755417 -2522.826999 -2289.239368 -12135.43078
0.00095 0.1885589872 -0.03504264343 -0.0006730621866 -0.7306165248 -0.6692052585 -3.546893518 -2516.022395 -2280.586857 -12089.80697
0.00096 0.1885515554 -0.03504944931 -0.0007091345235 -0.7557403152 -0.6919653579 -3.667550212 -2508.770574 -2271.452693 -12041.6373
0.00097 0.1885438728 -0.03505648233 -0.000746411021 -0.7807919124 -0.7146340583 -3.78772494 -2501.704255 -2262.417509 -11993.99911
0.00098 0.1885359399 -0.03506374159 -0.0007848869153 -0.8057743766 -0.7372134564 -3.907428883 -2494.950007 -2253.597809 -11947.50984
0.00099 0.1885277576 -0.03507122621 -0.0008245575575 -0.830690889 -0.759705765 -4.026673837 -2488.519914 -2245.005162 -11902.23074
0.001 0.1885193264 -0.03507893533 -0.0008654184196 -0.8555447515 -0.7821133121 -4.145472208 -2482.37184 -2236.601496 -11857.95998
0.00101 0.188510647 -0.03508686811 -0.0009074650748 -0.8803383025 -0.8044375497 -4.263831758 -2476.33716 -2228.233248 -11813.88355
0.00102 0.18850172 -0.03509502371 -0.0009506931153 -0.9050714717 -0.8266777356 -4.38174862 -2470.241269 -2219.741818 -11769.16072
0.00103 0.1884925459 -0.03510340129 -0.0009950980689 -0.9297431053 -0.8488321492 -4.499213738 -2464.048129 -2211.095493 -11723.62327
0.00104 0.1884831254 -0.03511199997 -0.001040675382 -0.9543524121 -0.8708994129 -4.616219874 -2457.763872 -2202.301082 -11677.30718
0.00105 0.1884734591 -0.03512081889 -0.001087420423 -0.9788983609 -0.8928779428 -4.732758693 -2451.39463 -2193.365428 -11630.24857
0.00106 0.1884635478 -0.03512985714 -0.001135328486 -1.003380283 -0.9147664979 -4.84882368 -2444.988687 -2184.333775 -11582.68717
0.00107 0.1884533919 -0.03513911383 -0.001184394816 -1.027798113 -0.9365643988 -4.964411292 -2438.588295 -2175.245743 -11534.83285
0.00108 0.1884429921 -0.03514858803 -0.001234614625 -1.052152028 -0.958271197 -5.079519212 -2432.205586 -2166.113421 -11486.7496
0.00109 0.1884323491 -0.03515827885 -0.001285983108 -1.076442205 -0.9798864552 -5.194145179 -2425.840646 -2156.937912 -11438.44315
0.0011 0.1884214636 -0.03516818537 -0.001338495432 -1.100668821 -1.001409747 -5.30828699 -2419.48754 -2147.714838 -11389.8902
0.00111 0.1884103361 -0.03517830665 -0.001392146743 -1.124831935 -1.022840548 -5.421941918 -2413.140334 -2138.439844 -11341.06755
0.00112 0.1883989672 -0.03518864178 -0.001446932158 -1.148931608 -1.044178344 -5.535107296 -2406.787075 -2129.103117 -11291.92308
0.00113 0.1883873577 -0.03519918981 -0.001502846763 -1.172967658 -1.065422414 -5.647779356 -2400.409796 -2119.689429 -11242.37595
0.00114 0.1883755082 -0.03520994982 -0.001559885603 -1.196939785 -1.08657194 -5.759953814 -2394.026652 -2110.216399 -11192.51944
0.00115 0.1883634193 -0.03522092084 -0.001618043693 -1.220848172 -1.107626553 -5.871628763 -2387.643753 -2100.690626 -11142.38843
0.00116 0.1883510916 -0.03523210194 -0.00167731602 -1.244692641 -1.128585568 -5.982800622 -2381.243132 -2091.096909 -11091.90221
0.00117 0.1883385257 -0.03524349214 -0.001737697534 -1.268473016 -1.149448311 -6.093465868 -2374.830903 -2081.441905 -11041.09598
0.00118 0.1883257224 -0.03525509049 -0.001799183157 -1.292189242 -1.17021423 -6.203621623 -2368.413178 -2071.732244 -10990.00475
0.00119 0.1883126823 -0.03526689601 -0.001861767778 -1.315841263 -1.190882784 -6.313265066 -2361.990048 -2061.969094 -10938.63462
0.0012 0.1882994059 -0.03527890773 -0.00192544626 -1.339429026 -1.211453444 -6.422393439 -2355.561605 -2052.153623 -10886.99165
0.00121 0.188285894 -0.03529112466 -0.00199021344 -1.362952478 -1.231925693 -6.531004043 -2349.188115 -2042.341387 -10835.37028
0.00122 0.1882721472 -0.03530354583 -0.002056064154 -1.386412771 -1.252300111 -6.639100003 -2342.749299 -2032.424571 -10783.19881
0.00123 0.1882581661 -0.03531617024 -0.002122993187 -1.409807448 -1.272574029 -6.746667211 -2336.245288 -2022.40477 -10730.48556
